suffx,PSNR,SSIM
deepcad,32.30381747535838,0.5577632784843445
frame600_win1_s048_δs128_t0-6_δt16,31.935518964873893,0.5466511249542236
frame600_win4_s048_δs128_t0-6_δt16,31.939490012334065,0.5469586849212646
frame600_win16_s048_δs128_t0-6_δt16,31.95909281963624,0.5482910871505737
frame600_win64_s048_δs128_t0-6_δt16,32.112617279162514,0.5591500401496887
frame600_win256_s048_δs128_t0-6_δt16,32.75520473757823,0.6144163012504578
frame600_win1024_s048_δs128_t0-6_δt16,33.12686791605712,0.6658045649528503
frame600_win2048_s048_δs128_t0-6_δt16,33.26051556470558,0.6805006265640259
frame600_win4096_s048_δs128_t0-6_δt16,33.32242853024653,0.688800573348999
frame600_win6000_s048_δs128_t0-6_δt16,33.34014761607795,0.6915522813796997
