suffx,PSNR,SSIM
deepcad,32.30381747535838,0.5577632784843445
frame300_win512_s08_δs24_t00_δt64,31.118946576205865,0.657442033290863
frame300_win512_s016_δs64_t00_δt32,31.897673878170497,0.6539384126663208
frame300_win512_s048_δs128_t0-6_δt16,32.94834513035534,0.6450122594833374
frame300_win512_s064_δs196_t0-6_δt8,32.64948573184381,0.6021068692207336
frame300_win512_s064_δs128_t0-6_δt16,32.94280488018365,0.6406812071800232
frame300_win512_s0128_δs64_t0-6_δt16,32.78444956822656,0.6201757788658142
frame300_win512_s064_δs128_t0-6_δt32,32.82065765501311,0.6425594091415405
frame300_win512_s0128_δs64_t0-6_δt32,32.736320532125866,0.6165956854820251
frame300_win512_s048_δs96_t0-6_δt16,32.991170189851644,0.6496263742446899
frame300_win512_s036_δs72_t0-6_δt16,32.994317785168185,0.6551766395568848
frame300_win512_s036_δs72_t0-6_δt12,32.99937558108178,0.6462612748146057
frame300_win512_s036_δs72_t0-6_δt8,32.7387194867172,0.6129697561264038
frame300_win512_s048_δs96_t00_δt4,32.6746876227456,0.6374164819717407
