step,epoch,l1,l2,corr,reg,loss
0,0.0,0.029706792905926704,0.0017368729459121823,0.0,0.0,0.03144366666674614
1,0.0,0.02926645800471306,0.0016147996066138148,0.0,0.0,0.030881257727742195
2,0.0,0.027923809364438057,0.0014669048832729459,0.0,0.0,0.029390715062618256
3,0.0,0.02883422002196312,0.0015626514796167612,0.0,0.0,0.030396871268749237
4,0.0,0.028862494975328445,0.0015821732813492417,0.0,0.0,0.030444668605923653
5,0.0,0.028704211115837097,0.001564409933052957,0.0,0.0,0.03026862069964409
6,0.0,0.028248688206076622,0.001515291049145162,0.0,0.0,0.029763979837298393
7,0.0,0.028189482167363167,0.0015047303168103099,0.0,0.0,0.0296942126005888
8,0.0,0.028323421254754066,0.0015152042033150792,0.0,0.0,0.029838625341653824
9,0.0,0.028536906465888023,0.0015293627511709929,0.0,0.0,0.030066268518567085
10,0.0,0.0282279159873724,0.0014978924300521612,0.0,0.0,0.029725808650255203
11,0.0,0.028515838086605072,0.0015389655018225312,0.0,0.0,0.03005480393767357
12,0.0,0.027767181396484375,0.0014644567854702473,0.0,0.0,0.029231637716293335
13,0.0,0.028391659259796143,0.0015280504012480378,0.0,0.0,0.029919710010290146
14,0.0,0.02820640243589878,0.0015073686372488737,0.0,0.0,0.029713770374655724
15,0.0,0.028488172218203545,0.001537193893454969,0.0,0.0,0.030025366693735123
16,0.0,0.02811785601079464,0.001502177445217967,0.0,0.0,0.029620032757520676
17,0.0,0.028539182618260384,0.0015357609372586012,0.0,0.0,0.030074942857027054
18,1.0,0.028405113145709038,0.0015233320882543921,0.0,0.0,0.02992844581604004
19,1.0,0.02815847657620907,0.0015061668818816543,0.0,0.0,0.029664643108844757
20,1.0,0.028050066903233528,0.0014918199740350246,0.0,0.0,0.02954188734292984
21,1.0,0.028385473415255547,0.0015305508859455585,0.0,0.0,0.029916023835539818
22,1.0,0.028441881760954857,0.0015393219655379653,0.0,0.0,0.029981203377246857
23,1.0,0.028221668675541878,0.0015121668111532927,0.0,0.0,0.02973383478820324
24,1.0,0.027637280523777008,0.0014530445914715528,0.0,0.0,0.02909032441675663
25,1.0,0.02803339622914791,0.0014883182011544704,0.0,0.0,0.02952171489596367
26,1.0,0.028428032994270325,0.0015322433318942785,0.0,0.0,0.029960276558995247
27,1.0,0.02841896191239357,0.0015299805672839284,0.0,0.0,0.029948942363262177
28,1.0,0.02802998572587967,0.001498041208833456,0.0,0.0,0.029528027400374413
29,1.0,0.028399068862199783,0.0015295001212507486,0.0,0.0,0.02992856875061989
30,1.0,0.028395911678671837,0.0015285889385268092,0.0,0.0,0.029924500733613968
31,1.0,0.02799435891211033,0.001486552762798965,0.0,0.0,0.029480911791324615
32,1.0,0.028311919420957565,0.0015161699848249555,0.0,0.0,0.029828090220689774
33,1.0,0.02861822582781315,0.001553015667013824,0.0,0.0,0.030171241611242294
34,1.0,0.028036661446094513,0.0014884178526699543,0.0,0.0,0.02952507883310318
35,1.0,0.027171313762664795,0.0014103645225986838,0.0,0.0,0.028581678867340088
36,2.0,0.028274841606616974,0.0015193333383649588,0.0,0.0,0.029794175177812576
37,2.0,0.028062716126441956,0.0014993158401921391,0.0,0.0,0.029562031850218773
38,2.0,0.027065226808190346,0.0014008061261847615,0.0,0.0,0.028466032817959785
39,2.0,0.028286544606089592,0.0015147514641284943,0.0,0.0,0.029801296070218086
40,2.0,0.028488969430327415,0.0015350093599408865,0.0,0.0,0.030023979023098946
41,2.0,0.028298869729042053,0.0015185391530394554,0.0,0.0,0.029817409813404083
42,2.0,0.028585631400346756,0.0015538198640570045,0.0,0.0,0.03013945184648037
43,2.0,0.028142396360635757,0.0015074523398652673,0.0,0.0,0.029649848118424416
44,2.0,0.028347132727503777,0.001524792518466711,0.0,0.0,0.029871925711631775
45,2.0,0.028032289817929268,0.0014891852624714375,0.0,0.0,0.029521474614739418
46,2.0,0.02829349972307682,0.0015166951343417168,0.0,0.0,0.029810193926095963
47,2.0,0.028075387701392174,0.001491172006353736,0.0,0.0,0.029566559940576553
48,2.0,0.02762717567384243,0.001453551696613431,0.0,0.0,0.029080728068947792
49,2.0,0.028370296582579613,0.001526692183688283,0.0,0.0,0.029896989464759827
50,2.0,0.02845471352338791,0.0015372643247246742,0.0,0.0,0.02999197691679001
51,2.0,0.028355849906802177,0.0015279488870874047,0.0,0.0,0.029883798211812973
52,2.0,0.02797001786530018,0.0014853765023872256,0.0,0.0,0.02945539355278015
53,2.0,0.028070690110325813,0.0014922296395525336,0.0,0.0,0.029562920331954956
54,3.0,0.028313327580690384,0.0015204428927972913,0.0,0.0,0.029833771288394928
55,3.0,0.027993544936180115,0.0014863390242680907,0.0,0.0,0.02947988361120224
56,3.0,0.028100427240133286,0.0015023467130959034,0.0,0.0,0.0296027734875679
57,3.0,0.02860145829617977,0.0015529992524534464,0.0,0.0,0.030154457315802574
58,3.0,0.027914192527532578,0.0014809463173151016,0.0,0.0,0.02939513884484768
59,3.0,0.02847140282392502,0.0015348101733252406,0.0,0.0,0.03000621311366558
60,3.0,0.028376761823892593,0.0015268113929778337,0.0,0.0,0.029903573915362358
61,3.0,0.02838873863220215,0.0015277338679879904,0.0,0.0,0.029916472733020782
62,3.0,0.028454342857003212,0.0015365529106929898,0.0,0.0,0.029990896582603455
63,3.0,0.027149435132741928,0.0014066643780097365,0.0,0.0,0.0285560991615057
64,3.0,0.027979757636785507,0.0014851817395538092,0.0,0.0,0.02946493960916996
65,3.0,0.028298944234848022,0.0015174209838733077,0.0,0.0,0.029816364869475365
66,3.0,0.02842584066092968,0.0015349815366789699,0.0,0.0,0.02996082231402397
67,3.0,0.028345871716737747,0.001525983097963035,0.0,0.0,0.029871854931116104
68,3.0,0.028032375499606133,0.0014968914911150932,0.0,0.0,0.02952926605939865
69,3.0,0.02803746983408928,0.0014881626702845097,0.0,0.0,0.0295256320387125
70,3.0,0.027574872598052025,0.001447958522476256,0.0,0.0,0.029022831469774246
71,3.0,0.028217628598213196,0.0015104252379387617,0.0,0.0,0.029728053137660027
72,4.0,0.02792639471590519,0.00148115458432585,0.0,0.0,0.029407549649477005
73,4.0,0.02813836559653282,0.001506041968241334,0.0,0.0,0.029644407331943512
74,4.0,0.028468072414398193,0.0015397646930068731,0.0,0.0,0.03000783734023571
75,4.0,0.027966385707259178,0.001492203795351088,0.0,0.0,0.02945858985185623
76,4.0,0.028619857504963875,0.001554551301524043,0.0,0.0,0.030174408107995987
77,4.0,0.02832442708313465,0.001522075617685914,0.0,0.0,0.02984650246798992
78,4.0,0.02813674882054329,0.0015051610535010695,0.0,0.0,0.029641909524798393
79,4.0,0.027982637286186218,0.0014870757004246116,0.0,0.0,0.02946971356868744
80,4.0,0.028280535712838173,0.001518434495665133,0.0,0.0,0.029798969626426697
